date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
2019-08-15,orange,The Fuzz,"crimp, sloper, pinch",face,natural,V7,Nick Gibbs,2003,Squamish,outdoors
2019-08-15,blue,Titanic Dyno,jug,face,dyno,V4,Nick Gibbs,1996,Squamish,outdoors
2019-08-16,orange,Anubis,crimp,overhang,natural,V7,Brad Tkachuk,2001,Squamish,outdoors
2019-08-17,green,Cheese Grater,jug,slab,natural,V1,Stu Worrall,1997,Squamish,outdoors
2019-08-17,blue,Slingshot,crimp,face,natural,V2,Jack Fieldhouse,2002,Squamish,outdoors
2019-08-17,orange,Wafer Thin,crimp,face,natural,V5,Nick Gibbs,1996,Squamish,outdoors
2019-08-17,green,Golden Bowl Stand,crimp,face,dyno,V4,Nick Gibbs,1996,Squamish,outdoors
2019-10-06,blue,"The Arete, Right Exit",crimp,overhang,natural,V4,,,Tuolumne Meadows,outdoors
2019-10-06,blue,Solar Flare,crimp,variable,natural,V4,,,Tuolumne Meadows,outdoors
2019-10-07,green,Erik’s Picnic,crimp,face,natural,V2,,,Tuolumne Meadows,outdoors
2019-10-07,green,Wood Deliverer,crimp,face,natural,V3,,,Tuolumne Meadows,outdoors
2019-10-07,orange,G23 Arete,crimp,arete,natural,V6,,,Tuolumne Meadows,outdoors
2019-10-08,blue,The Roof,"crimp, pinch",overhang,natural,V4,,,Tuolumne Meadows,outdoors
2019-10-21,orange,Munchkin Lunge,crimp,overhang,dyno,V6,,,Yosemite,outdoors
2019-10-21,blue,No Fur,"crimp, sloper",face,natural,V3,,,Yosemite,outdoors
2019-10-21,orange,Silent Spotter,crimp,overhang,natural,V6,,,Yosemite,outdoors
2019-10-21,blue,Unnamed Lip Traverse,sloper,overhang,dyno,V4,,,Yosemite,outdoors
2019-10-26,orange,Blue Suede Shoes,crimp,slab,natural,V5,,,Yosemite,outdoors
2019-11-03,blue,"Loaded, Eliminate",crimp,slab,natural,V1,,,Bishop Happy Boulders,outdoors
2019-11-03,orange,Molly,crimp,face,natural,V5,Craig Smith,,Bishop Happy Boulders,outdoors
2019-11-11,blue,Let’s Get Hurt,"jug, sloper",face,mantle,V3,Mike Hernandez,,Castle Rock,outdoors
2019-11-11,blue,"Coz Daddy, Early Exit","crimp, pinch",overhang,natural,V4,Scott Cosgrove,,Castle Rock,outdoors
2019-11-11,green,The Edge,crimp,face,dyno,V2,,,Castle Rock,outdoors
2019-11-11,green,Mr. Clean,sloper,overhang,dyno,V4,,,Castle Rock,outdoors
2019-11-11,blue,The Slope,"jug, sloper",face,mantle,V4,,,Castle Rock,outdoors
2019-12-21,blue,Burning Rubber Necklace,crimp,cave,natural,V4,Russ Walling,,Bishop Happy Boulders,outdoors
2019-12-24,orange,"Chuckawalla, Sit Start",crimp,face,natural,V6,Robert Miramontes,,Joshua Tree,outdoors
2019-12-25,orange,Black Streak Dyno,crimp,face,dyno,V5,Robert Miramontes,,Joshua Tree,outdoors
2019-12-25,orange,Secret Samurai,sloper,overhang,natural,V4,Kyle Owen,,Joshua Tree,outdoors
2019-12-28,green,The Black Bitch,crimp,slab,natural,V2,Wendell Broussard,1980,Red Rocks,outdoors
2019-12-29,orange,"Southeast Face of The Butt Crack Boulder, Sit Start",crimp,face,natural,V5,,,Red Rocks,outdoors
2019-12-31,red,Red Wave,crimp,overhang,dyno,V10,Dimitrius Fritz,1996,Red Rocks,outdoors
2020-01-01,orange,St. Louis,crimp,overhang,natural,V4,,,Red Rocks,outdoors
2020-01-02,orange,Monkey Wrench,crimp,overhang,natural,V7,,,Red Rocks,outdoors
2020-01-02,orange,Equinox,crimp,face,natural,V6,,,Red Rocks,outdoors
2020-01-03,green,Arete V1 on the Sorange Boulder,jug,face,natural,V1,,,Red Rocks,outdoors
