index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
200217,2019-06-23,green,Three Bangs,crimp,arete,natural,V3,,,"South Lake Tahoe, California Alpine Club",outdoor
200218,2019-06-23,green,Wood Nymph Early Exit,crimp,slab,natural,V3,,,"South Lake Tahoe, California Alpine Club",outdoor
200219,2019-07-01,green,Got Surprised,crimp,face,natural,V3,,,Mount Lassen,outdoor
200220,2019-07-01,blue,Widebeast,crimp,overhang,natural,V4,,,Mount Lassen,outdoor
200221,2019-07-05,orange,Gypsy’s Link Up,crimp,overhang,natural,V5,,,Black Mountain,outdoor
200222,2019-07-05,green,Central Basin Arete,crimp,arete,natural,V3,,,Black Mountain,outdoor
200223,2019-07-05,blue,Central Basin Traverse,crimp,face,natural,V4,,,Black Mountain,outdoor
200224,2019-07-05,blue,Pink Crack,"crimp, pinch",face,natural,V3,,,Black Mountain,outdoor
200225,2019-07-06,green,Line Dance,jug,overhang,natural,V1,D. Roth,,Palm Springs Aerial Tramway,outdoor
200226,2019-07-06,blue,Humping the Walrus,sloper,variable,natural,V4,Chad Gilbert,,Palm Springs Aerial Tramway,outdoor
200227,2019-07-06,green,Breakdance,jug,face,dyno,V3,A. Dornan,,Palm Springs Aerial Tramway,outdoor
200228,2019-07-06,orange,Swing Dance,crimp,overhang,dyno,V7,A. Dornan,,Palm Springs Aerial Tramway,outdoor
200229,2019-07-07,blue,Unnamed V1 (#374),"crimp, sloper",face,mantle,V1,,,Palm Springs Aerial Tramway,outdoor
200230,2019-07-07,orange,Dancing Queen (aka. The Cube),sloper,arete,natural,V5,Frank Cornelius,,Palm Springs Aerial Tramway,outdoor
200231,2019-07-12,orange,Smiley Face,crimp,face,natural,V6,,,Stinson Beach,outdoor
200232,2019-08-15,orange,The Fuzz,"crimp, sloper, pinch",face,natural,V7,Nick Gibbs,2003,Squamish,outdoor
200233,2019-08-15,blue,Titanic Dyno,jug,face,dyno,V4,Nick Gibbs,1996,Squamish,outdoor
200234,2019-08-16,orange,Anubis,crimp,overhang,natural,V7,Brad Tkachuk,2001,Squamish,outdoor
200235,2019-08-17,green,Cheese Grater,jug,slab,natural,V1,Stu Worrall,1997,Squamish,outdoor
200236,2019-08-17,blue,Slingshot,crimp,face,natural,V2,Jack Fieldhouse,2002,Squamish,outdoor
200237,2019-08-17,orange,Wafer Thin,crimp,face,natural,V5,Nick Gibbs,1996,Squamish,outdoor
200238,2019-08-17,green,Golden Bowl Stand,crimp,face,dyno,V4,Nick Gibbs,1996,Squamish,outdoor
200239,2019-10-06,blue,"The Arete, Right Exit",crimp,overhang,natural,V4,,,Tuolumne Meadows,outdoor
200240,2019-10-06,blue,Solar Flare,crimp,variable,natural,V4,,,Tuolumne Meadows,outdoor
200241,2019-10-07,green,Erik’s Picnic,crimp,face,natural,V2,,,Tuolumne Meadows,outdoor
200242,2019-10-07,green,Wood Deliverer,crimp,face,natural,V3,,,Tuolumne Meadows,outdoor
200243,2019-10-07,orange,G23 Arete,crimp,arete,natural,V6,,,Tuolumne Meadows,outdoor
200244,2019-10-08,blue,The Roof,"crimp, pinch",overhang,natural,V4,,,Tuolumne Meadows,outdoor
200245,2019-10-21,orange,Munchkin Lunge,crimp,overhang,dyno,V6,,,Yosemite,outdoor
200246,2019-10-21,blue,No Fur,"crimp, sloper",face,natural,V3,,,Yosemite,outdoor
200247,2019-10-21,orange,Silent Spotter,crimp,overhang,natural,V6,,,Yosemite,outdoor
200248,2019-10-21,blue,Unnamed Lip Traverse,sloper,overhang,dyno,V4,,,Yosemite,outdoor
200249,2019-10-26,orange,Blue Suede Shoes,crimp,slab,natural,V5,,,Yosemite,outdoor
200250,2019-11-03,blue,"Loaded, Eliminate",crimp,slab,natural,V1,,,Bishop Happy Boulders,outdoor
200251,2019-11-03,orange,Molly,crimp,face,natural,V5,Craig Smith,,Bishop Happy Boulders,outdoor
