index,date_,color,description,hold_type,wall_type,style,grade,setter,set_year,location,location_type
100208,2019-07-21,purple,"Purple plate crimps, dyno to the right, hold the swing, Womxn Up Comp Problem # 58",crimp,overhang,natural,V7,,,Dogpatch,indoor
100209,2019-07-21,blue,"Blue jump dyno to the left, sketchy topout, Womxn Up Comp Problem # 58",crimp,face,comp,V8,,,Dogpatch,indoor
100210,2019-07-23,black,"Black pinches on 30 degree wall, dyno to the top, Womxn Up Comp Problem # 59",pinch,overhang,natural,V8,Zoey Grinstead,,Dogpatch,indoor
100211,2019-08-12,orange,"Orange crimps and pinches, dynamic","crimp, pinch",overhang,natural,V11,,,Dogpatch,indoor
100212,2019-09-28,black,"Black plate crimps, double dyno to the left",crimp,face,dyno,V6,,,Berkeley Ironworks,indoor
100213,2019-10-23,orange,"Orange pinches, pogo dyno, easy mantle",pinch,overhang,dyno,V9,Kurt Jalapeno,,Dogpatch,indoor
100214,2019-11-13,white,"White undercling start, left hand to a plate crimp, pogo to a double clutch, simple dyno to finish",crimp,overhang,comp,V7,EZ,,Berkeley Ironworks,indoor
100215,2019-11-24,red,Red jump-and-catch double clutch dyno,jug,face,comp,V5,,,Sportrock Alexandria,indoor
100216,2019-11-24,red,"Red crimps, traverse left, then straight up an arete, very difficult flash",crimp,face,natural,V6,Alex Brown,,Sportrock Alexandria,indoor
100217,2019-11-24,purple,"Purple crimps, hulk-like right hand cross deadpoint to a crimp, traverse right on crimps",crimp,face,natural,V7,Alex Brown,,Sportrock Alexandria,indoor
100218,2019-11-24,red,"Red jump across the mat onto a jug, pinchy, compression top, Male #2",pinch,overhang,comp,V6,,,Sportrock Alexandria,indoor
100219,2019-11-29,green,"Green undercling to some crimps, traverse right on pinch blocks, desperate last two moves",pinch,face,natural,V8,Jeremiah D Cantrell,,Sportrock Alexandria,indoor
100220,2019-12-15,red,"Red overhanging crimps, toe-hook two moves in",crimp,overhang,natural,V8,,,Berkeley Ironworks,indoor
100221,2019-12-16,green,"Green jugs underneath roof, come out onto crimps, dyno for a crimp, jug traverse left to finish",crimp,overhang,natural,V8,Kurt Jalapeno,,Diablo Rock,indoor
100222,2019-12-22,purple,"Purple crimps and pinches on a face, difficult traverse in the middle","crimp, pinch",face,natural,V7,Nolan,,Mesa Rim Mission Valley,indoor
100223,2019-12-22,white,"White crimps, perch on bad foot to reach a far-left sidepull gaston",crimp,face,natural,V8,Leo,,Mesa Rim Mission Valley,indoor
100224,2019-12-23,purple,"Purple big moves on  crimps, sketchy top way off the deck, pumpy and long","crimp, pinch",cave,natural,V7,,,Grotto Climbing,indoor
100225,2020-01-07,green,"Green pinches, dynamic moves across an overhang",pinch,overhang,natural,V9,KSO,,Berkeley Ironworks,indoor
100226,2020-01-14,yellow,"Yellow comp style pinches, huge windmill dyno to a sloper",pinch,arete,comp,V8,,,Dogpatch,indoor
100227,2020-01-23,purple,"Purple compression roof, large power moves with cut feet","crimp, jug",cave,natural,V8,YIM,,Dogpatch,indoor
100228,2020-01-25,white,"White left pogo to catch a crimp, grab a sloper, then traverse right to hold a barndoor using a gaston, desperate",crimp,face,natural,V8,,,Berkeley Ironworks,indoor
100229,2020-01-28,blue,"Blue start underneath in the cave, big move out, compress on crimps",crimp,overhang,natural,V9,Morgan McGehee,,Mission Cliffs,indoor
