index_,date_,location_type,grade,display_grade,location,color,description,wall_type,hold_type,style,setter
100139,2017-11-16,indoor,7,V7,Planet Granite Belmont,green,Green pipes,cave,"pinch, jug",natural,
100140,2017-11-18,indoor,8,V8,Dogpatch,purple,"Purple slopers, super soft",overhang,sloper,natural,Jonathan Wright
100141,2017-11-19,indoor,5,V5,Dogpatch,orange,"Orange dyno to a jug, easy topout",overhang,jug,dyno,Max Krimmer
100142,2017-11-21,indoor,8,V8,Planet Granite Belmont,orange,Orange crimps,face,crimp,natural,Chaj
100143,2017-12-03,indoor,7,V7,Dogpatch,yellow,"Yellow Comp Problem, back wall, overhang",overhang,crimp,comp,Woman Up
100144,2017-12-08,indoor,7,V7,Dogpatch,black,"Black pinches on the mushroom, dyno into a sloper, mantle the topout",overhang,pinch,dyno,Max Krimmer
100145,2017-12-05,indoor,5,V5,Dogpatch,orange,"Orange crimps on back topout near the downclimb ladders, sketchy",slab,crimp,comp,Buck Yedor
100146,2017-12-10,indoor,8,V8,Dogpatch,green,Green crimps on the wave,face,crimp,natural,Radu Popescu
100147,2017-12-22,indoor,7,V7,Dogpatch,orange,"Orange run and jump to pinches, heel-hook dynamic move to a pinch, easy topout",face,pinch,comp,Nilo Batle
100148,2018-01-06,indoor,6,V6,Dogpatch,orange,"Orange volumes on the wave, no hands entire route",slab,crimp,natural,
100149,2018-01-13,indoor,5,V5,Dogpatch,pink,"Pink jugs to crimps, easy topout, Comp Problem # 50",overhang,"crimp, jug",natural,
100150,2018-01-15,indoor,8,V8,Dogpatch,blue,Blue comp problem with a dyno and a crimp,overhang,crimp,natural,Radu Popescu
100151,2018-01-15,indoor,9,V9,Dogpatch,blue,"Blue crimps, easy intro, hard deadpoint finish",overhang,crimp,natural,Justin Alarcon?
100152,2018-01-17,indoor,5,V5,Dogpatch,purple,Purple grapes on the slab,slab,crimp,natural,Radu Popescu
100153,2018-01-20,indoor,6,V6,The Cliffs at LIC,green,"Green crimps, traverse left, difficult finish",face,crimp,natural,
100154,2018-01-28,indoor,8,V8,Dogpatch,blue,"Blue, two deadpoint moves on crimps underneath the arch, eases up on flakes to a finish jug",overhang,"crimp, jug",natural,Ari
100155,2018-02-11,indoor,10,V10,Dogpatch,pink,"Pink crimps, rose move to an arete, then a tricky lockoff to a sloper crimp",face,crimp,natural,Nilo Batle
100156,2018-02-13,indoor,6,V6,Dogpatch,pink,"Pink crimps to jugs, full campus",overhang,"crimp, jug",natural,Max Krimmer
100157,2018-02-24,indoor,6,V6,Dogpatch,purple,"Purple dyno to a jug, then up to a plate crimps, then top",face,jug,dyno,Nick Noel
100158,2018-02-27,indoor,5,V5,Dogpatch,yellow,Yellow step-up dyno eliminate,face,jug,comp,Zak Grinstead
100159,2018-03-03,indoor,6,V6,Dogpatch,blue,"Blue crimps on the cave, full campus",overhang,crimp,natural,Sean Keehan
100160,2018-03-09,indoor,8,V8,Dogpatch,black,"Black slopers, come out from under the roof, campus to another sloper, mantle around an arete on a pinch",cave,sloper,natural,Zak Grinstead
100161,2018-03-18,indoor,8,V8,Dogpatch,green,"Green so-ill slopers, easy beginning, sketchy top traverse",face,sloper,natural,Zak Grinstead
100162,2018-03-27,indoor,5,V5,Dogpatch,purple,Purple run and jump on pinches,slab,pinch,comp,Nick Noel
100163,2018-03-27,indoor,6,V6,Dogpatch,black,"Black pinches, dyno for jug at the end",face,pinch,dyno,Ben Polanco
100164,2018-04-09,indoor,7,V7,Mission Cliffs,green,Green everything,overhang,"crimp, pinch, sloper",natural,Ben Polanco
100165,2018-04-13,indoor,8,V8,Dogpatch,white,White comp dyno,face,sloper,comp,EZ
100166,2018-04-24,indoor,8,V8,Dogpatch,orange,"Orange dyno to sloper, arete",overhang,sloper,natural,Nilo Batle
100167,2018-04-26,indoor,7,V7,Mission Cliffs,green,Green Crimps,overhang,crimp,natural,Nilo Batle
100168,2018-05-15,indoor,8,V8,Dogpatch,yellow,Yellow slab dyno with crimp finish,slab,jug,dyno,Nick Noel
100169,2018-05-22,indoor,9,V9,Dogpatch,black,"Black sloper arete, cut free three times",arete,sloper,natural,Nilo Batle
100170,2018-05-31,indoor,9,V9,Dogpatch,purple,"Purple dyno to a crimp rail, then up the face of an arete, dyno finish",face,crimp,natural,Zak Grinstead
100171,2018-06-04,indoor,8,V8,Dogpatch,pink,"Pink comp dyno, easy finish",face,jug,comp,Nick Noel
100172,2018-06-09,indoor,8,V8,Dogpatch,blue,"Blue blocks, dynamic moves, dyno finish",face,jug,dyno,Ezzy
100173,2018-06-12,indoor,8,V8,Dogpatch,orange,"Orange pinches in the cave, crimp finish",cave,pinch,natural,Morgan McGehee
100174,2018-06-13,indoor,7,V7,Dogpatch,blue,Blue comp dyno,cave,jug,comp,Nilo Batle
100175,2018-06-17,indoor,8,V8,Ironworks,green,Green jug haul on barrel,overhang,jug,natural,Max Krimmer
100176,2018-07-11,indoor,7,V7,Dogpatch,pink,Pink triple dyno,face,sloper,comp,Morgan McGehee
100177,2018-07-22,indoor,8,V8,Peak of Fremont,blue,"Blue jugs, super inflated, nearly flashed",face,jug,natural,
100178,2018-07-31,indoor,8,V8,Dogpatch,yellow,"Yellow crimps, super inflated, first V8 flash",overhang,crimp,natural,Morgan McGehee
100179,2018-08-14,indoor,8,V8,Dogpatch,green,"Green crimps on the back wall, campus’ed the crimps",overhang,crimp,natural,Kat Gentry
100180,2018-08-21,indoor,8,V8,Ironworks,green,"Green step up dyno to a sloper, had to two hand grab the finish hold",face,sloper,comp,TCS
100181,2018-08-28,indoor,10,V10,Mission,red,"Red undercling to two separate crimps, swing feet from left to right, crimp sloper pinch, dyno finish",overhang,crimp,natural,Ben Polanco
100182,2018-09-30,indoor,8,V8,Ironworks,green,"Green slopers, traverse left then right, can also skip holds on the arete",face,sloper,comp,Nick Noel
100183,2018-10-05,indoor,9,V9,Great Western,pink,"Pink prow problem, lock off on right lip crimp, grab a left lip crimp, dynamic move to a sidepull, grab a gaston",overhang,crimp,natural,EZ
100184,2018-10-09,indoor,9,V9,Diablo Rock,black,"Black start on sloper, grab a crimp, grab another crimp to prevent a swing, dyno to a donut, mantle to finish hold",overhang,"crimp, sloper",natural,Ski
100185,2018-10-28,indoor,8,V8,The Studio Climbing,purple,"Rainbow rocket emulator, step-up dyno",face,jug,comp,Kessler
100186,2018-11-02,indoor,9,V9,Dogpatch,pink,"Pink dyno to a sloper on the lip, back wall",overhang,sloper,natural,Radu Popescu
100187,2018-11-23,indoor,6,V6,Earthtreks Rockville,white,"White swinging jump dyno to an undercling on the left, pinch finish. “6 Minute Drill”",face,"jug, pinch",comp,Skilla
100188,2018-11-23,indoor,7,V7,Earthtreks Rockville,pink,"Pink bat hang to a face climb on pinches, soft",overhang,pinch,natural,Shane
100189,2018-11-29,indoor,7,V7,Dogpatch,blue,"Blue swinging jump dyno to a crimp, jug finish, Women’s Comp Final #1",overhang,"crimp, jug",comp,Sean Nanos
100190,2018-11-30,indoor,6,V6,Planet Granite Sunnyvale,yellow,Yellow run and jump to pipes,face,jug,comp,
100191,2018-12-16,indoor,6,V6,The Studio Climbing,orange,Orange run and jump to the right,face,pinch,comp,Kessler
100192,2018-12-19,indoor,9,V9,Dogpatch,blue,"Blue dynamic moves to a shelf, then a difficult mantle",overhang,"crimp, sloper",dyno,Radu Popescu
100193,2019-01-04,indoor,7,V7,Climb Central Manilla,green,"Green crimps to pinches, traverse left to finish hold",face,"crimp, pinch",natural,
100194,2019-01-12,indoor,8,V8,Dogpatch,white,"White dyno start, crimpy finish, on expansion overhang",overhang,"crimp, sloper",dyno,Kurt Jalapeno
100195,2019-02-09,indoor,6,V6,Dogpatch,purple,"Purple comp dyno to the right, easy finish on jugs",overhang,jug,comp,Kurt Jalapeno
100196,2019-02-26,indoor,9,V9,Dogpatch,blue,Blue crimps on the wave,face,crimp,natural,Morgan McGehee
100197,2019-03-05,indoor,9,V9,Dogpatch,purple,Purple crimps in the back,slab,crimp,natural,Nilo Batle
100198,2019-03-06,indoor,7,V7,Dogpatch,purple,"Purple dyno to a jug, jump dyno to the left, easy finish",face,jug,comp,Nick Noel
100199,2018-04-09,indoor,8,V8,Diablo Rock,purple,Purple comp dyno,face,sloper,comp,
100200,2019-05-03,indoor,9,V9,Dogpatch,orange,Orange overhung pinches,overhang,pinch,natural,Max Krimmer
100201,2019-05-04,indoor,9,V9,The Studio Climbing,colorless,"Two dynos, followed by sketchy crimps",overhang,crimp,dyno,James Shen
100202,2019-05-10,indoor,9,V9,Dogpatch,white,"White undercling start, sideways dyno, followed by straight up dyno high off the ground",overhang,jug,natural,Max Krimmer
100203,2019-05-17,indoor,10,V10,Great Western,orange,Powerful orange pinches,overhang,pinch,natural,Nilo Batle
100204,2019-06-14,indoor,6,V6,Dogpatch,purple,Purple foot chips,slab,crimp,natural,Nilo Batle
100205,2019-06-18,indoor,7,V7,Diablo Rock,red,"Red crimps, dyno to a jug",face,crimp,natural,Colin Baxter Green
100206,2019-06-19,indoor,6,V6,Great Western,orange,"Orange pinches, double-clutch dyno to the left",overhang,pinch,dyno,
100207,2019-06-24,indoor,9,V9,Dogpatch,white,"White dyno start, crimpy finish, on the arch",overhang,crimp,dyno,Max Krimmer
